1	project_name	token_symbol	url
2	Bitcoin	BTC	bitcoin	
3	Ethereum	ETH	ethereum	
4	Cardano	ADA	cardano	
5	Binance Coin	BNB	binance-coin	
6	Tether	USDT	tether	
7	XRP	XRP	xrp	
8	Solana	SOL	solana	
9	USD Coin	USDC	usd-coin	
10	Polkadot	DOT	polkadot-new	
11	Dogecoin	DOGE	dogecoin	
12	Uniswap	UNI	uniswap	
13	Terra	LUNA	terra-luna	
14	Avalanche	AVAX	avalanche	
15	Binance USD	BUSD	binance-usd	
16	Chainlink	LINK	chainlink	
17	Litecoin	LTC	litecoin	
18	Algorand	ALGO	algorand	
19	Bitcoin Cash	BCH	bitcoin-cash	
20	Wrapped Bitcoin	WBTC	wrapped-bitcoin	
21	Internet Computer	ICP	internet-computer	
22	Polygon	MATIC	polygon	
23	Cosmos	ATOM	cosmos	
24	Filecoin	FIL	filecoin	
25	Stellar	XLM	stellar	
26	VeChain	VET	vechain	
27	Axie Infinity	AXS	axie-infinity	
28	Ethereum Classic	ETC	ethereum-classic	
29	TRON	TRX	tron	
30	FTX Token	FTT	ftx-token	
31	Dai	DAI	multi-collateral-dai	
32	THETA	THETA	theta	
33	Tezos	XTZ	tezos	
34	Hedera Hashgraph	HBAR	hedera-hashgraph	
35	Bitcoin BEP2	BTCB	bitcoin-bep2	
36	Elrond	EGLD	elrond-egld	
37	eCash	XEC	ecash	
38	Monero	XMR	monero	
39	PancakeSwap	CAKE	pancakeswap	
40	Crypto.com Coin	CRO	crypto-com-coin	
41	EOS	EOS	eos	
42	Aave	AAVE	aave	
43	Quant	QNT	quant	
44	IOTA	MIOTA	iota	
45	NEAR Protocol	NEAR	near-protocol	
46	Fantom	FTM	fantom	
47	The Graph	GRT	the-graph	
48	Klaytn	KLAY	klaytn	
49	SHIBA INU	SHIB	shiba-inu	
50	Neo	NEO	neo	
51	Kusama	KSM	kusama	
52	UNUS SED LEO	LEO	unus-sed-leo	
53	Waves	WAVES	waves	
54	TerraUSD	UST	terrausd	
55	Bitcoin SV	BSV	bitcoin-sv	
56	Maker	MKR	maker	
57	BitTorrent	BTT	bittorrent	
58	Amp	AMP	amp	
59	Celo	CELO	celo	
60	Dash	DASH	dash	
61	Helium	HNT	helium	
62	Compound	COMP	compound	
63	THORChain	RUNE	thorchain	
64	OMG Network	OMG	omg	
65	Harmony	ONE	harmony	
66	Chiliz	CHZ	chiliz	
67	Stacks	STX	stacks	
68	Arweave	AR	arweave	
69	XDC Network	XDC	xinfin	
70	Revain	REV	revain	
71	Theta Fuel	TFUEL	theta-fuel	
72	Decred	DCR	decred	
73	Holo	HOT	holo	
74	Zcash	ZEC	zcash	
75	NEM	XEM	nem	
76	Huobi Token	HT	huobi-token	
77	Celsius	CEL	celsius	
78	SushiSwap	SUSHI	sushiswap	
79	Decentraland	MANA	decentraland	
80	TrueUSD	TUSD	trueusd	
81	ICON	ICX	icon	
82	Enjin Coin	ENJ	enjin-coin	
83	dYdX	DYDX	dydx	
84	Synthetix	SNX	synthetix-network-token	
85	Flow	FLOW	flow	
86	yearn.finance	YFI	yearn-finance	
87	Mina	MINA	mina	
88	Qtum	QTUM	qtum	
89	Serum	SRM	serum	
90	Zilliqa	ZIL	zilliqa	
91	Curve DAO Token	CRV	curve-dao-token	
92	OKB	OKB	okb	
93	Ren	REN	ren	
94	Perpetual Protocol	PERP	perpetual-protocol	
95	IOST	IOST	iostoken	
96	Ravencoin	RVN	ravencoin	
97	Basic Attention Token	BAT	basic-attention-token	
98	Bitcoin Gold	BTG	bitcoin-gold	
99	Audius	AUDIO	audius	
100	Pax Dollar	USDP	paxos-standard	
101	Telcoin	TEL	telcoin	
102	Nexo	NEXO	nexo	
103	Mdex	MDX	mdex	
104	KuCoin Token	KCS	kucoin-token	
105	Bancor	BNT	bancor	
106	Celer Network	CELR	celer-network	
107	Horizen	ZEN	horizen	
108	0x	ZRX	0x	
109	renBTC	RENBTC	renbtc	
110	Siacoin	SC	siacoin	
111	Raydium	RAY	raydium	
112	Ontology	ONT	ontology	
113	The Sandbox	SAND	the-sandbox	
114	DigiByte	DGB	digibyte	
115	Voyager Token	VGX	voyager-token	
116	SwissBorg	CHSB	swissborg	
117	Ankr	ANKR	ankr	
118	Nano	NANO	nano	
119	UMA	UMA	uma	
120	IoTeX	IOTX	iotex	
121	Fetch.ai	FET	fetch	
122	Neutrino USD	USDN	neutrino-usd	
123	Kava	KAVA	kava	
124	Golem	GLM	golem-network-tokens	
125	1inch	1INCH	1inch	
126	Loopring	LRC	loopring	
127	COTI	COTI	coti	
128	WOO Network	WOO	wootrade	
129	HUSD	HUSD	husd	
130	Dent	DENT	dent	
131	Numeraire	NMR	numeraire	
132	WAX	WAXP	wax	
133	Polymath	POLY	polymath-network	
